wid,label,genres,materials,image,year,year_bin,years,image_path,genres_encoded,materials_encoded,years_encoded
Q16305109,Equestrian statue of King Rama V. at Royal Plaza (Dusit Palace),equestrian statue,bronze,https://upload.wikimedia.org/wikipedia/commons/9/91/King_Rama_V_Equestrian.jpg,1908,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q16305109_0.png,3,1,8
Q16400711,William Saroyan's Monument,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/a/ad/%D5%8E%D5%AB%D5%AC%D5%B5%D5%A1%D5%B4_%D5%8D%D5%A1%D6%80%D5%B8%D5%B5%D5%A1%D5%B6_1.jpg,2008,13,2000-2022,/home3/jqwx33/SculptureMTL/selected_images/Q16400711_0.png,8,1,12
Q16538591,Charles VI frightened in the forest of Le Mans,group of statues,bronze,https://upload.wikimedia.org/wikipedia/commons/4/4b/Augustins_-_Charles_VI_effray%C3%A9_dans_la_for%C3%AAt_du_Mans_-_Antoine-Louis_Barye.jpg,1833,7,1800-1849,/home3/jqwx33/SculptureMTL/selected_images/Q16538591_0.png,4,1,6
Q16880238,,portrait,bronze,https://upload.wikimedia.org/wikipedia/commons/c/c5/Augustins_-_Paul_Claudel_%C3%A0_seize_ans_-_Camille_Claudel_RA_941.jpg,1895,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q16880238_0.png,7,1,7
Q16932034,Nathan Hale,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/f/f0/Statue_of_Nathan_Hale_NGM-v31-p290.jpg,1893,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q16932034_0.png,8,1,7
Q16941430,The Storming of the Bastille,Other,bronze,https://upload.wikimedia.org/wikipedia/commons/f/f1/Prise_de_la_storming_of_the_Bastille_14_july_1789.jpg,1883,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q16941430_0.png,0,1,7
Q16941450,The Battle of Valmy,Other,bronze,https://upload.wikimedia.org/wikipedia/commons/c/cc/Bataille_de_Valmy._20_Septembre_1792.jpg,1883,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q16941450_0.png,0,1,7
Q16941487,The Adoption of universal suffrage,Other,bronze,https://upload.wikimedia.org/wikipedia/commons/2/22/Adoption_du_suffrage_universel.jpg,1883,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q16941487_0.png,0,1,7
Q17066322,William the Silent,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/b/b0/Rutgers_University_statue_and_tree_in_April_College_Campus.JPG,1920,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q17066322_0.png,8,1,8
Q17194246,William Shakespeare,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/d/d2/William_Shakespeare_Statue%2C_Central_Park%2C_NYC.JPG,1870,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q17194246_0.png,8,1,7
Q17276346,Le Poulet de Bresse,animal sculpture,metal,https://upload.wikimedia.org/wikipedia/commons/3/3c/Aire-Poulet-de-Bresse.jpg,1999,12,1980-1999,/home3/jqwx33/SculptureMTL/selected_images/Q17276346_0.png,2,4,11
Q17320510,Santa Maria del Parto a Mergellina - Presepe Giovanni da Nola,group of statues,wood,https://upload.wikimedia.org/wikipedia/commons/9/96/Chiesa_di_Santa_Maria_del_Parto_a_Mergellina_30.JPG,1519,4,1500-1599,/home3/jqwx33/SculptureMTL/selected_images/Q17320510_0.png,4,8,3
Q17347007,De l'en-dessous,public art,metal,https://upload.wikimedia.org/wikipedia/commons/d/d2/De_l%27en-dessous.jpg,1986,12,1980-1999,/home3/jqwx33/SculptureMTL/selected_images/Q17347007_0.png,8,4,11
Q17538728,Asturias (sculpture),public art,metal,https://upload.wikimedia.org/wikipedia/commons/b/b2/Asturias_%28Oviedo%29_%282%29.jpg,1991,12,1980-1999,/home3/jqwx33/SculptureMTL/selected_images/Q17538728_0.png,8,4,11
Q17560516,Bust of Padre Vinjoy,Other,bronze,https://upload.wikimedia.org/wikipedia/commons/e/e4/Padre_Vinjoy-2.JPG,1950,10,1940-1959,/home3/jqwx33/SculptureMTL/selected_images/Q17560516_0.png,0,1,9
Q17579691,,portrait,marble,https://upload.wikimedia.org/wikipedia/commons/e/e0/Fauveau_Buste_%282007_1_1%29.jpg,1833,7,1800-1849,/home3/jqwx33/SculptureMTL/selected_images/Q17579691_0.png,7,3,6
Q17581124,,group of statues,plaster,https://upload.wikimedia.org/wikipedia/commons/5/59/Th%C3%A9odore_Louis_Auguste_Rivi%C3%A8re_-_Oedipe_et_l%27exode_-_Mus%C3%A9e_des_Augustins_-_70_3_1.jpg,1900,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q17581124_0.png,4,5,7
Q17627684,46 Charred Steps,public art,wood,https://upload.wikimedia.org/wikipedia/commons/1/1c/Sculpture_at_Schoenthal-nash_106.jpg,2000,12,1980-1999,/home3/jqwx33/SculptureMTL/selected_images/Q17627684_0.png,8,8,11
Q18123493,A Pau Casals,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/c/c3/A_Pau_Casals_%28Apel%C2%B7les_Fenosa%29_P1430090.JPG,1940,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q18123493_0.png,8,1,8
Q18168644,Le Cavalier gaulois (The Gaulish Horseman),public art,stone,https://upload.wikimedia.org/wikipedia/commons/2/2b/Le_cavalier_gaulois%2C_par_Auguste_Pr%C3%A9ault.jpg,1814,7,1800-1849,/home3/jqwx33/SculptureMTL/selected_images/Q18168644_0.png,8,6,6
Q18168648,Fame Fighting,nude,Other,https://upload.wikimedia.org/wikipedia/commons/a/a0/Golden_statue_on_Pont_Alexandre_III_1.jpg,1890,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q18168648_0.png,6,0,7
Q18168653,Horse with Harrow,animal sculpture,metal,https://upload.wikimedia.org/wikipedia/commons/5/50/In_front_of_dOrsay.JPG,1878,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q18168653_0.png,2,4,7
Q18191112,Antoine Barye,portrait,marble,https://upload.wikimedia.org/wikipedia/commons/f/f1/Antoine_Louis_Barye_bust.jpg,1888,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q18191112_0.png,7,3,7
Q18191141,George Sand,public art,marble,https://upload.wikimedia.org/wikipedia/commons/7/7b/Fran%C3%A7ois-L%C3%A9on_Sicard_-_George_Sand.JPG,1904,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q18191141_0.png,8,3,8
Q18191155,La Bocca della Verità,public art,marble,https://upload.wikimedia.org/wikipedia/commons/5/50/Blanchard.jpg,1871,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q18191155_0.png,8,3,7
Q18191182,Monument à Delacroix,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/3/35/Monument_%C3%A0_Delacroix_by_Jules_Dalou%2C_Paris_17_April_2016_002.jpg,1890,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q18191182_0.png,8,1,7
Q18191188,James Pradier,portrait,marble,https://upload.wikimedia.org/wikipedia/commons/a/ac/JamesPradier.jpg,1888,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q18191188_0.png,7,3,7
Q18191189,Pierre-Paul Prud'hon,portrait,marble,https://upload.wikimedia.org/wikipedia/commons/4/4b/Pierre-PaulPrudhon.jpg,1888,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q18191189_0.png,7,3,7
Q18917852,Actaeon,mythological sculpture,marble,https://upload.wikimedia.org/wikipedia/commons/6/6b/Act%C3%A9on_-_par_Emile_Colbert_Soldi.jpg,1877,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q18917852_0.png,5,3,7
Q18917956,Bacchus,Other,terracotta,https://upload.wikimedia.org/wikipedia/commons/b/b1/Bacchus_-_Nicolas_Delaistre.jpg,1789,6,1700-1799,/home3/jqwx33/SculptureMTL/selected_images/Q18917956_0.png,0,7,5
Q19007339,The Three Shades,nude,metal,"[https://upload.wikimedia.org/wikipedia/commons/7/76/Les_Trois_Ombres_Auguste_Rodin.jpg, https://upload.wikimedia.org/wikipedia/commons/3/3a/Las_tres_sombras.jpg]",1880,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q19007339_0.png,6,4,7
Q19060290,Domenichino,portrait,marble,https://upload.wikimedia.org/wikipedia/commons/4/4e/Dominiquin_%28Julie_Charpentier%29.JPG,1818,7,1800-1849,/home3/jqwx33/SculptureMTL/selected_images/Q19060290_0.png,7,3,6
Q19120310,Satyre et bacchante by James Pradier,group of statues,marble,https://upload.wikimedia.org/wikipedia/commons/0/0e/Pradier_satyre_et_bacchante.jpg,1834,7,1800-1849,/home3/jqwx33/SculptureMTL/selected_images/Q19120310_0.png,4,3,6
Q19245846,Bust by Joseph Chinard,portrait,terracotta,https://upload.wikimedia.org/wikipedia/commons/4/4a/Chinard-desconhecida.jpg,1802,7,1800-1849,/home3/jqwx33/SculptureMTL/selected_images/Q19245846_0.png,7,7,6
Q19279816,Bust of Emperor Napoleon I,portrait,ceramic,https://upload.wikimedia.org/wikipedia/commons/7/71/Napoleon_Chaudet_Louvre_OA10410.jpg,1811,7,1800-1849,/home3/jqwx33/SculptureMTL/selected_images/Q19279816_0.png,7,2,6
Q19336295,Sleep,mythological sculpture,bronze,https://upload.wikimedia.org/wikipedia/commons/8/8e/Carrier-Belleuse_Dream.jpg,1870,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q19336295_0.png,5,1,7
Q19399020,Two resting lions,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/f/fe/Hvilende_loever.JPG,1600,4,1500-1599,/home3/jqwx33/SculptureMTL/selected_images/Q19399020_0.png,8,1,3
Q19404776,"Louis XV récompense la Peinture et la Sculpture, Berruer",Other,marble,https://upload.wikimedia.org/wikipedia/commons/b/ba/Berruer_-_Louis_XV_r%C3%A9compense_la_Peinture_et_la_Sculpture_02.jpg,1770,6,1700-1799,/home3/jqwx33/SculptureMTL/selected_images/Q19404776_0.png,0,3,5
Q19405103,"Ganymède versant le nectar à Jupiter changé en aigle, Julien",Other,marble,https://upload.wikimedia.org/wikipedia/commons/6/6b/Ganymede_Julien_Louvre_RF3001.jpg,1776,6,1700-1799,/home3/jqwx33/SculptureMTL/selected_images/Q19405103_0.png,0,3,5
Q19659334,,mythological sculpture,metal,https://upload.wikimedia.org/wikipedia/commons/9/96/Torse_du_Printemps-Maillol-Orsay-2.jpg,1911,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q19659334_0.png,5,4,8
Q19729731,Standing Figure: Knife Edge,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/5/5d/Knife_Edge_1961.jpg,1961,11,1960-1979,/home3/jqwx33/SculptureMTL/selected_images/Q19729731_0.png,8,1,10
Q19753091,Diana,nude,bronze,https://upload.wikimedia.org/wikipedia/commons/a/ae/Houdon-diana.jpg,1790,6,1700-1799,/home3/jqwx33/SculptureMTL/selected_images/Q19753091_0.png,6,1,5
